featid,tile,cells_5,tr_ka_5m_50m_21_kaspSlp_across
9731,3/4,40,
9736,3/4,86,0.02906
9742,3/4,59,0.031712
9743,3/4,209,0.029579
9748,3/4,135,0.022742
9749,3/4,237,0.013056
9750,3/4,377,0.01577
9753,3/4,175,0.01707
9754,3/4,181,0.024893
9757,3/4,121,0.018554
9758,3/4,87,0.016223
9760,3/4,20,0.021783
9765,3/4,562,0.015013
9766,3/4,246,0.019169
9767,3/4,37,0.020702
9768,3/4,416,0.024111
9769,3/4,2,0.023292
9777,3/4,24,0.023927
9784,3/4,257,0.021187
9785,3/4,23,0.026252
9786,3/4,25,0.026319
9790,3/4,39,0.014524
9791,3/4,26,0.025169
9792,3/4,16,0.024758
9793,3/4,2,0.022792
9800,3/4,5075,0.038197
9801,3/4,34,0.022229
9802,3/4,54,0.023428
9808,3/4,281,0.023853
9809,3/4,715,0.027117
9810,3/4,31,0.029985
9811,3/4,67,0.019724
9812,3/4,92,0.03083
9817,3/4,4,0.02481
9818,3/4,52,0.020938
9819,3/4,89,0.029092
9820,3/4,13,0.030426
9825,3/4,142,0.02476
9826,3/4,36,0.022937
9827,3/4,109,0.028973
9828,3/4,227,0.034455
9830,3/4,25,0.034407
9831,3/4,50,0.029022
9835,3/4,11,0.020656
9837,3/4,130,0.043967
9838,3/4,125,0.042112
9839,3/4,137,0.04116
9840,3/4,2,0.020607
9841,3/4,2,0.018982
9842,3/4,15,0.033288
9843,3/4,48,0.036492
9844,3/4,17,0.032494
9851,3/4,82,0.025325
9852,3/4,92,0.033185
9853,3/4,28,0.022652
9854,3/4,12,0.0227
9855,3/4,6,0.027492
9856,3/4,30,0.063048
9857,3/4,389,0.026878
9858,3/4,17,0.02077
9859,3/4,4,0.036376
9863,3/4,137,0.027564
9864,3/4,76,0.033575
9865,3/4,145,0.055803
9866,3/4,13,0.018105
9867,3/4,26,0.031653
9868,3/4,4,0.025871
9869,3/4,24,0.029568
9870,3/4,29,0.039846
9871,3/4,60,0.022021
9873,3/4,245,0.028162
9875,3/4,30,0.017477
9876,3/4,25,0.050019
9878,3/4,2,0.047563
9879,3/4,5,0.062664
9880,3/4,34,0.040996
9881,3/4,4,0.055214
9883,3/4,189,0.026701
9884,3/4,22,0.023887
9885,3/4,23,0.031558
9889,3/4,233,0.038995
9890,3/4,19,0.05302
9891,3/4,66,0.059317
9893,3/4,82,0.051359
9894,3/4,1,0.05078
9895,3/4,45,0.026453
9896,3/4,1,0.053775
9897,3/4,31,0.048684
9899,3/4,9,0.029256
9900,3/4,10266,0.037488
9901,3/4,37,0.014848
9902,3/4,2,0.047677
9903,3/4,3,0.036188
9904,3/4,150,0.030642
9905,3/4,156,0.01474
9906,3/4,41,0.010764
