featid,tile,cells_5,tr_tp_5m_100m_41_mean_diff,tr_tp_5m_100m_41_sd
9731,3/4,40,0.621745,1.484573
9736,3/4,86,-0.185917,1.409859
9742,3/4,59,0.145031,1.662339
9743,3/4,209,-0.230413,1.449688
9748,3/4,135,1.070613,1.195319
9749,3/4,237,-0.052151,0.972147
9750,3/4,377,-0.314024,0.945222
9753,3/4,175,0.842499,1.143978
9754,3/4,181,-0.085401,1.147627
9757,3/4,121,0.376053,0.954652
9758,3/4,87,0.074348,1.090641
9760,3/4,20,-0.268453,1.268696
9765,3/4,562,0.466708,1.095947
9766,3/4,246,0.761344,1.115504
9767,3/4,37,0.482588,1.140873
9768,3/4,416,0.118007,1.381946
9769,3/4,2,-0.405714,1.315749
9777,3/4,24,0.041464,1.272592
9784,3/4,257,0.084337,1.247705
9785,3/4,23,-0.424426,1.260778
9786,3/4,25,-0.410663,1.47825
9790,3/4,39,0.438847,1.132243
9791,3/4,26,-0.465078,1.283597
9792,3/4,16,0.223877,1.60269
9793,3/4,2,-0.554692,1.55065
9800,3/4,5075,0.128069,2.019047
9801,3/4,34,-0.163356,1.463806
9802,3/4,54,-0.040374,1.449763
9808,3/4,281,-0.195795,1.386329
9809,3/4,715,0.062624,1.621517
9810,3/4,31,-0.160143,1.328785
9811,3/4,67,0.012133,1.396307
9812,3/4,92,0.447626,1.851353
9817,3/4,4,0.054561,1.433305
9818,3/4,52,-0.069303,1.412839
9819,3/4,89,0.768341,1.778816
9820,3/4,13,0.215818,1.614931
9825,3/4,142,-0.188511,1.572852
9826,3/4,36,0.146827,1.545176
9827,3/4,109,0.913342,1.948683
9828,3/4,227,0.596609,2.001888
9830,3/4,25,0.29115,2.137711
9831,3/4,50,0.123513,1.758638
9835,3/4,11,0.510103,1.695475
9837,3/4,130,0.823561,2.31709
9838,3/4,125,0.506717,2.35225
9839,3/4,137,0.588881,2.165859
9840,3/4,2,0.978205,1.496503
9841,3/4,2,0.881444,1.453641
9842,3/4,15,0.217909,2.117772
9843,3/4,48,0.034546,1.998064
9844,3/4,17,-0.796062,1.714232
9851,3/4,82,-0.058745,1.629729
9852,3/4,92,0.510701,2.13355
9853,3/4,28,-0.18321,1.502575
9854,3/4,12,0.321925,1.68587
9855,3/4,6,0.543005,1.680005
9856,3/4,30,-1.133854,2.773383
9857,3/4,389,-0.183612,1.41871
9858,3/4,17,0.49738,1.511898
9859,3/4,4,-0.097494,2.25535
9863,3/4,137,0.700183,2.131608
9864,3/4,76,0.95792,2.243648
9865,3/4,145,-0.843067,3.09874
9866,3/4,13,-0.513937,0.854174
9867,3/4,26,-0.834159,1.708148
9868,3/4,4,1.272308,1.793455
9869,3/4,24,1.14014,1.862742
9870,3/4,29,0.10688,2.125587
9871,3/4,60,-0.563952,1.453658
9873,3/4,245,0.612406,1.528883
9875,3/4,30,0.080544,1.586567
9876,3/4,25,0.426383,3.058154
9878,3/4,2,0.398154,2.745256
9879,3/4,5,-0.000868,2.839849
9880,3/4,34,-1.230579,2.503538
9881,3/4,4,-1.040286,2.717219
9883,3/4,189,-0.469742,1.575227
9884,3/4,22,-0.776036,1.703778
9885,3/4,23,0.06452,1.843629
9889,3/4,233,0.43569,2.662017
9890,3/4,19,0.970833,2.766557
9891,3/4,66,-0.090792,3.133787
9893,3/4,82,-0.4013,2.954497
9894,3/4,1,-0.766794,2.718115
9895,3/4,45,-1.232335,1.616442
9896,3/4,1,0.414735,2.316433
9897,3/4,31,0.528601,2.315592
9899,3/4,9,-0.754296,1.569819
9900,3/4,10266,-0.281981,2.272957
9901,3/4,37,-0.222565,1.506585
9902,3/4,2,-0.754273,2.705112
9903,3/4,3,-1.580847,2.318287
9904,3/4,150,-1.332873,2.237287
9905,3/4,156,0.424939,0.945765
9906,3/4,41,-0.802204,1.116546
9907,3/4,246,-0.227934,1.134695
9908,3/4,23,-0.163551,1.323829
9909,3/4,169,0.506734,3.769305
9910,3/4,30,-0.2074,1.417673
9911,3/4,8,-1.303781,3.063394
9912,3/4,78,-1.386671,2.78792
9914,3/4,6,-1.332018,2.261455
9915,3/4,36,-0.798803,1.568801
9916,3/4,27,0.758891,1.14001
9917,3/4,46,-0.013847,0.928017
9918,3/4,9,-0.579302,1.280471
9919,3/4,3,-0.064665,1.565368
9920,3/4,5064,-0.398815,2.050396
9921,3/4,7,0.083154,1.762402
9922,3/4,39,0.023343,1.684734
9923,3/4,38,-1.148113,3.026867
9924,3/4,8,-1.089864,2.354864
9925,3/4,29,-1.18948,1.767998
