featid,tile,cells_5,tr_st_min_5,tr_st_max_5,tr_st_mean_5,tr_st_sd_5
9731,3/4,40,31.375726,33.191745,32.765036,0.343684
9736,3/4,86,31.971834,33.431366,32.887843,0.242903
9742,3/4,59,31.168704,32.92319,32.380943,0.45905
9743,3/4,209,31.877805,35.653862,33.251153,0.642028
9748,3/4,135,33.085614,36.12287,35.13081,0.711417
9749,3/4,237,33.808794,35.875384,34.542759,0.311599
9750,3/4,377,34.013232,36.482688,34.588995,0.449953
9753,3/4,175,34.332251,35.875191,35.362802,0.371355
9754,3/4,181,31.899039,35.177674,34.137248,0.667649
9757,3/4,121,34.969787,36.536568,35.883212,0.450886
9758,3/4,87,33.829034,36.549704,35.109102,0.677864
9760,3/4,20,32.065931,34.344174,33.312394,0.773921
9765,3/4,562,35.565889,37.23295,36.452642,0.195363
9766,3/4,246,35.129138,36.644797,36.253406,0.437986
9767,3/4,37,34.497921,36.439827,35.442299,0.46683
9768,3/4,416,30.982815,35.090181,33.86669,0.632123
9769,3/4,2,33.987951,33.999925,33.993938,0.008467
9777,3/4,24,34.392749,35.204881,35.009632,0.198031
9784,3/4,257,34.038295,37.030941,36.3451,0.845683
9785,3/4,23,34.561682,35.190989,34.889834,0.179598
9786,3/4,25,31.446616,32.596743,31.788639,0.283917
9790,3/4,39,35.468251,36.687157,36.50586,0.281026
9791,3/4,26,34.45618,35.478069,34.887627,0.306265
9792,3/4,16,28.025203,31.801463,30.388753,1.026167
9793,3/4,2,31.470942,31.555851,31.513397,0.06004
9800,3/4,5075,29.499362,48.329185,36.236128,3.226553
9801,3/4,34,31.864418,33.318905,32.706075,0.363775
9802,3/4,54,32.931016,33.935262,33.463173,0.274439
9808,3/4,281,36.561514,38.362285,37.44795,0.419223
9809,3/4,715,26.071043,37.307828,31.302587,3.224092
9810,3/4,31,35.973351,36.992518,36.530308,0.304402
9811,3/4,67,33.434754,35.162726,34.486318,0.450507
9812,3/4,92,31.298484,33.811846,32.794973,0.627383
9817,3/4,4,36.874025,36.992295,36.938708,0.052323
9818,3/4,52,34.506732,35.965247,35.349742,0.407909
9819,3/4,89,31.834545,33.795872,32.749645,0.448702
9820,3/4,13,28.32953,31.872961,29.642518,0.918574
9825,3/4,142,36.636767,39.296038,38.730333,0.385072
9826,3/4,36,36.734766,38.002034,37.25576,0.434088
9827,3/4,109,33.714317,36.22272,35.20579,0.57577
9828,3/4,227,30.336133,35.031383,32.836708,1.326179
9830,3/4,25,30.525619,32.524022,31.498994,0.644403
9831,3/4,50,30.860197,32.349202,31.565897,0.367663
9835,3/4,11,37.837557,38.193011,38.036308,0.112462
9837,3/4,130,32.643248,38.201845,36.544734,1.555285
9838,3/4,125,29.921053,36.345164,33.481507,1.573883
9839,3/4,137,29.191771,35.238751,33.150024,1.593644
9840,3/4,2,35.02823,35.104853,35.066542,0.054181
9841,3/4,2,35.139543,35.180492,35.160018,0.028956
9842,3/4,15,30.092695,32.213167,31.098403,0.7032
9843,3/4,48,28.948282,32.090174,30.43889,0.962746
9844,3/4,17,27.375927,30.025764,28.50862,0.651817
9851,3/4,82,39.272392,40.515766,39.703935,0.263822
9852,3/4,92,36.475001,41.187873,39.083175,1.178241
9853,3/4,28,38.070905,38.445484,38.270387,0.1279
9854,3/4,12,38.090898,38.370739,38.280447,0.089905
9855,3/4,6,37.087482,37.75311,37.355101,0.258886
9856,3/4,30,31.380555,33.090254,32.148831,0.446139
9857,3/4,389,26.880209,32.831623,29.303895,1.250897
9858,3/4,17,34.641358,35.094236,34.91181,0.132607
9859,3/4,4,31.314254,31.458394,31.410054,0.065371
9863,3/4,137,38.345254,41.266339,40.020668,0.696209
9864,3/4,76,36.417182,38.821797,37.97302,0.604575
9865,3/4,145,32.090096,36.099794,33.568422,0.934508
9866,3/4,13,27.457209,28.002785,27.733125,0.162387
9867,3/4,26,28.887097,29.665299,29.190615,0.209273
9868,3/4,4,34.41524,34.645111,34.530176,0.098921
9869,3/4,24,34.493948,35.060237,34.639126,0.128406
9870,3/4,29,29.890003,31.299115,30.471557,0.322732
9871,3/4,60,26.954743,30.241579,27.96981,1.06618
9873,3/4,245,23.737998,28.882129,26.919183,1.045285
9875,3/4,30,40.645621,41.328384,41.051519,0.199398
9876,3/4,25,36.58444,38.627675,37.576971,0.61147
9878,3/4,2,36.202795,36.321531,36.262163,0.08396
9879,3/4,5,33.393849,36.128775,34.738493,1.172406
9880,3/4,34,30.390765,32.079412,31.181877,0.441908
9881,3/4,4,31.694179,32.147929,31.921054,0.186741
9883,3/4,189,26.850739,31.907843,28.409995,1.034598
9884,3/4,22,27.679759,30.105295,28.512625,0.707625
9885,3/4,23,29.262095,29.769698,29.563978,0.156802
9889,3/4,233,33.759042,40.877779,38.648908,1.909144
9890,3/4,19,37.087208,39.17003,38.192301,0.581787
9891,3/4,66,33.932564,38.174525,36.133487,1.026776
9893,3/4,82,33.424816,36.770672,34.944506,0.844185
9894,3/4,1,32.200173,32.200173,32.200173,
9895,3/4,45,28.153853,28.842578,28.473485,0.167726
9896,3/4,1,31.417453,31.417453,31.417453,
9897,3/4,31,30.857377,32.226658,31.53921,0.325855
9899,3/4,9,27.590659,28.599243,28.080382,0.24997
9900,3/4,10266,36.37257,63.155887,45.457693,4.122532
9901,3/4,37,40.913157,41.421529,41.171979,0.138774
9902,3/4,2,32.123329,32.268811,32.19607,0.102872
9903,3/4,3,30.220071,30.436365,30.337957,0.109455
9904,3/4,150,29.311157,32.358397,30.779275,1.021977
9905,3/4,156,27.21542,29.260771,28.159134,0.565411
9906,3/4,41,27.90397,28.659841,28.19342,0.153675
9907,3/4,246,27.03308,28.984726,27.998814,0.502784
9908,3/4,23,27.49393,28.967215,28.328189,0.443795
9909,3/4,169,59.259943,64.312558,60.977362,0.795654
9910,3/4,30,41.020114,41.757764,41.476854,0.180307
9911,3/4,8,32.421287,33.435023,32.931435,0.350409
9912,3/4,78,31.320571,34.180354,32.254475,0.596412
9914,3/4,6,30.247444,31.105186,30.710945,0.329304
9915,3/4,36,29.214165,30.959166,29.967154,0.491075
9916,3/4,27,27.861611,28.642524,28.195564,0.233201
9917,3/4,46,27.665398,29.002599,28.468739,0.322526
9918,3/4,9,28.402433,28.655389,28.561279,0.07432
9919,3/4,3,28.631064,29.017937,28.8245,0.193437
9920,3/4,5064,14.222677,30.033879,22.373193,2.584587
9921,3/4,7,40.564685,40.838081,40.698032,0.105026
9922,3/4,39,40.692715,41.450661,41.057277,0.194314
9923,3/4,38,32.360919,35.850958,33.70206,0.9632
9924,3/4,8,30.885943,31.975146,31.450311,0.365669
9925,3/4,29,29.424202,31.199548,30.167155,0.539812
9926,3/4,24,29.380852,30.038324,29.693791,0.17779
9927,3/4,26,27.385167,28.739645,28.354616,0.32193
9928,3/4,30,27.973507,29.077716,28.504091,0.281107
9929,3/4,116,40.95211,42.279441,41.69313,0.329274
9930,3/4,22,40.492002,41.255794,40.855544,0.221415
9931,3/4,7,32.876703,34.045274,33.427736,0.403063
9932,3/4,114,30.935021,32.650649,31.892839,0.451209
9934,3/4,173,28.783832,32.380198,30.292181,1.086419
9936,3/4,78,28.275044,28.817524,28.525959,0.102002
9937,3/4,24,28.091674,28.912042,28.61274,0.169758
9938,3/4,35,28.163019,28.533771,28.359253,0.096173
9939,3/4,39,26.175875,30.237969,29.156331,1.164375
9940,3/4,3,40.199602,40.278225,40.237923,0.039349
9941,3/4,26,40.327631,41.024793,40.672814,0.191326
9942,3/4,3,34.293717,34.806831,34.54757,0.256599
9943,3/4,19,31.798677,32.907941,32.345426,0.313775
9944,3/4,132,31.676791,35.297167,33.75905,1.085936
9945,3/4,33,28.928881,30.759273,29.871581,0.621943
9946,3/4,84,28.230958,28.887637,28.488145,0.191874
9947,3/4,508,15.845388,27.060391,24.158297,2.719541
9948,3/4,367,26.469464,31.360703,28.767741,1.28959
9949,3/4,59,39.517777,40.713388,40.304843,0.218564
9950,3/4,6,35.708804,36.673843,36.210326,0.33817
9951,3/4,174,34.460258,41.00337,36.508105,1.173004
9952,3/4,71,30.242263,32.677247,31.746288,0.655843
9953,3/4,61,28.277021,28.537331,28.401467,0.065991
9954,3/4,47,20.008366,23.045632,21.744945,0.743618
9955,3/4,468,20.876086,25.536435,23.167956,0.963763
9956,3/4,1,26.355045,26.355045,26.355045,
9957,3/4,555,24.018756,28.541938,27.115542,0.679169
9958,3/4,350,42.09092,46.484399,44.263484,1.332621
9959,3/4,3,40.82408,40.915768,40.866757,0.046171
9960,3/4,2,40.339419,40.62036,40.479889,0.198656
9961,3/4,85,33.11895,35.763369,34.407515,0.733182
9962,3/4,107,31.354593,33.36551,32.306322,0.47133
9963,3/4,99,28.629847,31.973462,30.163208,1.140152
9964,3/4,33,29.798159,30.970864,30.457794,0.325151
9965,3/4,185,28.342291,31.41506,29.714717,0.695458
9966,3/4,394,25.620857,28.738508,27.205109,0.826608
9967,3/4,903,24.088393,30.107359,28.051934,1.382139
9968,3/4,7,24.677082,28.308019,27.176963,1.3922
9969,3/4,41,23.702544,26.184926,24.962251,0.595346
9970,3/4,221,26.557204,28.880787,28.07106,0.483014
9971,3/4,361,41.707452,46.007295,44.144964,1.255733
9972,3/4,204,38.634524,44.391675,41.967012,1.298412
9973,3/4,30,40.212866,40.966555,40.7214,0.163146
9974,3/4,13,37.065009,39.996576,38.250583,1.092233
9975,3/4,302,31.519404,39.738319,35.01429,1.629119
9976,3/4,179,32.330887,33.806803,33.139689,0.365823
9977,3/4,18,32.53295,33.327821,32.891006,0.254604
9978,3/4,1,32.542294,32.542294,32.542294,
9979,3/4,1,28.48398,28.48398,28.48398,
9980,3/4,33,28.485743,28.754673,28.587742,0.067717
9981,3/4,256,28.344954,30.722006,29.34528,0.470944
9982,3/4,74,25.723831,28.4281,26.850172,0.74841
9983,3/4,63,26.596166,28.417209,26.929491,0.38263
