featid,tile,cells_5,tr_te_tri_5,tr_te_tpi_5,tr_te_roughness_5,tr_te_slope_5,tr_te_aspect_5
9731,3/4,40,0.09,0.01102,0.305428,1.253635,275.325183
9736,3/4,86,0.084821,-0.016996,0.2904,1.153274,194.556725
9742,3/4,59,0.124206,0.007052,0.370689,1.700112,264.761131
9743,3/4,209,0.164583,-0.009828,0.535532,2.313694,222.800482
9748,3/4,135,0.290762,0.038995,0.930684,4.042666,152.016407
9749,3/4,237,0.106605,-0.007734,0.324017,1.422968,153.751551
9750,3/4,377,0.071121,-0.004704,0.230093,1.041427,189.434688
9753,3/4,175,0.125815,0.014945,0.421153,1.76853,102.994942
9754,3/4,181,0.169602,-0.015043,0.538642,2.299407,141.160921
9757,3/4,121,0.201539,0.005327,0.621314,2.917344,177.545725
9758,3/4,87,0.239325,-0.01658,0.810574,3.427516,184.809645
9760,3/4,20,0.205279,-0.01743,0.696649,2.807428,242.905769
9765,3/4,562,0.043339,0.004605,0.144566,0.591835,221.083628
9766,3/4,246,0.109841,0.016334,0.34614,1.568685,198.747562
9767,3/4,37,0.344207,0.00203,1.062979,4.876812,192.22802
9768,3/4,416,0.116648,0.008145,0.39465,1.678672,125.044227
9769,3/4,2,0.223895,-0.129931,0.724623,2.66863,237.610128
9777,3/4,24,0.155964,-0.015808,0.485725,2.264317,114.992596
9784,3/4,257,0.142573,0.00338,0.45845,1.98512,177.769838
9785,3/4,23,0.088585,-0.003136,0.300107,1.198667,153.462474
9786,3/4,25,0.206683,-0.041765,0.620424,2.681751,128.381773
9790,3/4,39,0.092059,0.002885,0.315432,1.314386,237.816276
9791,3/4,26,0.177313,-0.021616,0.550406,2.428208,143.179271
9792,3/4,16,0.167942,0.010706,0.503692,2.398576,113.396554
9793,3/4,2,0.070489,-0.030813,0.207451,0.756319,53.236785
9800,3/4,5075,0.252715,0.002215,0.816379,3.563227,209.488756
9801,3/4,34,0.222684,0.001977,0.659798,2.753719,164.617268
9802,3/4,54,0.134167,0.002595,0.415334,1.694524,164.568719
9808,3/4,281,0.091827,-0.004076,0.288099,1.301794,148.343315
9809,3/4,715,0.170332,0.002457,0.539432,2.382188,137.932809
9810,3/4,31,0.136262,-0.015324,0.425532,1.878886,143.429203
9811,3/4,67,0.139016,-0.005738,0.439078,1.845006,227.612119
9812,3/4,92,0.120285,0.006721,0.367865,1.757984,75.922832
9817,3/4,4,0.039182,0.004959,0.132507,0.561494,68.944074
9818,3/4,52,0.160498,0.016528,0.529747,2.162726,181.219808
9819,3/4,89,0.182732,0.022916,0.584074,2.542349,143.98922
9820,3/4,13,0.195315,0.008264,0.611811,2.518509,178.458078
9825,3/4,142,0.074823,0.00043,0.224105,1.107551,175.086323
9826,3/4,36,0.116863,-0.016328,0.33463,1.643265,166.752415
9827,3/4,109,0.237456,0.024196,0.705485,3.173823,112.616035
9828,3/4,227,0.203358,0.00644,0.676984,2.851822,146.478809
9830,3/4,25,0.219126,-0.012519,0.632172,3.157336,102.223934
9831,3/4,50,0.219869,-0.009043,0.693364,2.941264,158.700422
9835,3/4,11,0.067752,0,0.186561,1.019451,182.845373
9837,3/4,130,0.215896,0.004696,0.691483,3.13873,126.934515
9838,3/4,125,0.244187,-0.011587,0.74079,3.253789,128.834985
9839,3/4,137,0.205127,0.005313,0.66511,2.937358,84.117649
9840,3/4,2,0.074724,0.042377,0.252289,0.975381,126.674332
9841,3/4,2,0.08994,0.081924,0.210251,0.662382,259.802198
9842,3/4,15,0.251858,-0.011532,0.762126,3.64681,106.728937
9843,3/4,48,0.324733,-0.018062,1.010076,4.704833,111.071554
9844,3/4,17,0.215418,-0.044635,0.685249,3.0592,115.026373
9851,3/4,82,0.102412,-0.008393,0.300389,1.505113,184.255457
9852,3/4,92,0.177024,-0.008013,0.584599,2.577511,157.944804
9853,3/4,28,0.075998,0.000461,0.218181,1.12338,176.243188
9854,3/4,12,0.068138,-0.000466,0.188498,1.024732,182.54935
9855,3/4,6,0.211304,0.004886,0.611052,3.114685,175.518713
9856,3/4,30,0.228517,-0.024994,0.813753,3.326118,81.592464
9857,3/4,389,0.198297,0.000227,0.641236,2.688035,126.54446
9858,3/4,17,0.071336,0.012904,0.248802,0.965691,227.781225
9859,3/4,4,0.138395,-0.065305,0.424637,1.909141,131.701091
9863,3/4,137,0.121023,0.010673,0.399288,1.710604,113.134951
9864,3/4,76,0.155292,0.024801,0.512614,2.227864,113.772712
9865,3/4,145,0.215217,-0.000572,0.762232,3.311529,118.202432
9866,3/4,13,0.161708,-0.063861,0.511334,1.862944,96.306666
9867,3/4,26,0.112719,-0.016022,0.392786,1.584953,137.612142
9868,3/4,4,0.092522,0.01701,0.378778,1.451612,139.13641
9869,3/4,24,0.089152,-0.011509,0.299681,1.148113,132.866521
9870,3/4,29,0.133471,0.020027,0.385343,1.827388,163.503169
9871,3/4,60,0.08822,-0.003095,0.286668,1.292584,188.043511
9873,3/4,245,0.235407,0.008161,0.728045,3.284057,171.442819
9875,3/4,30,0.078473,0.001734,0.271951,1.15365,117.616642
9876,3/4,25,0.313026,-0.007988,1.043237,4.571007,115.270223
9878,3/4,2,0.326806,-0.011044,1.030815,4.730904,73.224105
9879,3/4,5,0.47157,-0.007619,1.349651,6.948484,92.280908
9880,3/4,34,0.244889,0.004572,0.814311,3.494348,117.362678
9881,3/4,4,0.239713,0.00162,0.887014,3.645168,142.639954
9883,3/4,189,0.206154,-0.008512,0.612273,2.893498,127.445394
9884,3/4,22,0.322784,-0.032323,1.054187,4.386814,69.894748
9885,3/4,23,0.140503,0.016536,0.415151,2.021255,162.204756
9889,3/4,233,0.196156,0.000872,0.704682,2.932939,133.023921
9890,3/4,19,0.276319,0.056791,0.865171,3.956315,150.9361
9891,3/4,66,0.358238,0.022992,1.245986,5.335471,127.214728
9893,3/4,82,0.290247,-0.037734,0.893964,4.104284,91.435189
9894,3/4,1,0.186838,0.050215,0.751064,2.764196,134.938337
